"STUDY_ID","EVENTCATEGORYNAME","EVENTNAME","startdt","SHORTTITLE","STUDYNUMBER","enddt","EVENT"
50203,"Protocol Status","Closed to Follow Up","30-MAR-1992","AZT in KS","ACTG 001","","Closed to Follow Up"
50203,"Protocol Status","Concluded","05-MAY-1990","AZT in KS","ACTG 001","30-MAR-1992","Concluded"
50203,"Protocol Status","Closed to Accrual","13-NOV-1987","AZT in KS","ACTG 001","05-MAY-1990","Closed to Accrual"
50203,"Protocol Status","Open","20-NOV-1986","AZT in KS","ACTG 001","13-NOV-1987","Open"
50203,"Protocol Status","Pending","05-SEP-1986","AZT in KS","ACTG 001","20-NOV-1986","Pending"
50204,"Protocol Status","Concluded","01-MAR-2001","AZT for AIDS patients post first episode PCP","ACTG 002","","Concluded"
50204,"Protocol Status","Closed to Follow Up","14-MAY-1990","AZT for AIDS patients post first episode PCP","ACTG 002","01-MAR-2001","Closed to Follow Up"
50204,"Protocol Status","POS/PAC","01-MAY-1990","AZT for AIDS patients post first episode PCP","ACTG 002","14-MAY-1990","POS/PAC"
50204,"Protocol Status","Closed to Accrual","12-NOV-1987","AZT for AIDS patients post first episode PCP","ACTG 002","01-MAY-1990","Closed to Accrual"
50204,"Protocol Status","Open","02-DEC-1986","AZT for AIDS patients post first episode PCP","ACTG 002","12-NOV-1987","Open"
50204,"Protocol Status","Pending","10-NOV-1986","AZT for AIDS patients post first episode PCP","ACTG 002","02-DEC-1986","Pending"
50205,"Protocol Status","Concluded","15-JUL-1990","AZT/DHPG in CMV","ACTG 004","","Concluded"
50205,"Protocol Status","POS/PAC","14-FEB-1990","AZT/DHPG in CMV","ACTG 004","15-JUL-1990","POS/PAC"
50205,"Protocol Status","Closed to Follow Up","30-JAN-1990","AZT/DHPG in CMV","ACTG 004","14-FEB-1990","Closed to Follow Up"
50205,"Protocol Status","Closed to Accrual","26-SEP-1988","AZT/DHPG in CMV","ACTG 004","30-JAN-1990","Closed to Accrual"
50205,"Protocol Status","Open","23-APR-1987","AZT/DHPG in CMV","ACTG 004","26-SEP-1988","Open"
50205,"Protocol Status","Pending","16-JAN-1987","AZT/DHPG in CMV","ACTG 004","23-APR-1987","Pending"
50206,"Protocol Status","Concluded","01-APR-1993","AZT in ADC (placebo-control)","ACTG 005","","Concluded"
50206,"Protocol Status","POS/PAC","01-AUG-1990","AZT in ADC (placebo-control)","ACTG 005","01-APR-1993","POS/PAC"
50206,"Protocol Status","Closed to Follow Up","19-SEP-1989","AZT in ADC (placebo-control)","ACTG 005","01-AUG-1990","Closed to Follow Up"
50206,"Protocol Status","Closed to Accrual","16-JUN-1988","AZT in ADC (placebo-control)","ACTG 005","19-SEP-1989","Closed to Accrual"
50206,"Protocol Status","Open","17-JUL-1987","AZT in ADC (placebo-control)","ACTG 005","16-JUN-1988","Open"
50206,"Protocol Status","Pending","28-APR-1987","AZT in ADC (placebo-control)","ACTG 005","17-JUL-1987","Pending"
50207,"Protocol Status","Concluded","01-MAR-1993","Adriamycin in KS","ACTG 006","","Concluded"
50207,"Protocol Status","POS/PAC","02-JUN-1990","Adriamycin in KS","ACTG 006","01-MAR-1993","POS/PAC"
50207,"Protocol Status","Closed to Follow Up","26-DEC-1989","Adriamycin in KS","ACTG 006","02-JUN-1990","Closed to Follow Up"
50207,"Protocol Status","Closed to Accrual","11-JUL-1988","Adriamycin in KS","ACTG 006","26-DEC-1989","Closed to Accrual"
50207,"Protocol Status","Open","24-MAY-1987","Adriamycin in KS","ACTG 006","11-JUL-1988","Open"
50207,"Protocol Status","Pending","07-APR-1987","Adriamycin in KS","ACTG 006","24-MAY-1987","Pending"
50208,"Protocol Status","Withdrawn","04-OCT-1994","Phase I:  Desciclovir -> Desciclovir + AZT","ACTG 007","","Other"
50208,"Protocol Status","In Development","06-DEC-1988","Phase I:  Desciclovir -> Desciclovir + AZT","ACTG 007","04-OCT-1994","In Development"
50208,"Protocol Status","Deferred","06-DEC-1988","Phase I:  Desciclovir -> Desciclovir + AZT","ACTG 007","06-DEC-1988","Other"
50209,"Protocol Status","Concluded","03-JUL-1991","MBACOD/AZT +/- radiation in B-cell lymphoma","ACTG 008","","Concluded"
50209,"Protocol Status","Closed to Follow Up","01-MAY-1991","MBACOD/AZT +/- radiation in B-cell lymphoma","ACTG 008","03-JUL-1991","Closed to Follow Up"
50209,"Protocol Status","POS/PAC","31-MAR-1990","MBACOD/AZT +/- radiation in B-cell lymphoma","ACTG 008","01-MAY-1991","POS/PAC"
50209,"Protocol Status","Closed to Accrual","27-DEC-1988","MBACOD/AZT +/- radiation in B-cell lymphoma","ACTG 008","31-MAR-1990","Closed to Accrual"
50209,"Protocol Status","Open","26-JUN-1987","MBACOD/AZT +/- radiation in B-cell lymphoma","ACTG 008","27-DEC-1988","Open"
50209,"Protocol Status","Pending","30-APR-1987","MBACOD/AZT +/- radiation in B-cell lymphoma","ACTG 008","26-JUN-1987","Pending"
50210,"Protocol Status","Concluded","26-MAR-1990","Chemo./AZT/Rad. in Primary CNS lymphoma","ACTG 009","","Concluded"
50210,"Protocol Status","Concluded","14-FEB-1990","Chemo./AZT/Rad. in Primary CNS lymphoma","ACTG 009","26-MAR-1990","Concluded"
50210,"Protocol Status","Closed to Follow Up","28-SEP-1989","Chemo./AZT/Rad. in Primary CNS lymphoma","ACTG 009","14-FEB-1990","Closed to Follow Up"
50210,"Protocol Status","Closed to Accrual","20-JUN-1989","Chemo./AZT/Rad. in Primary CNS lymphoma","ACTG 009","28-SEP-1989","Closed to Accrual"
50210,"Protocol Status","Open","17-OCT-1987","Chemo./AZT/Rad. in Primary CNS lymphoma","ACTG 009","20-JUN-1989","Open"
50210,"Protocol Status","Pending","15-MAY-1987","Chemo./AZT/Rad. in Primary CNS lymphoma","ACTG 009","17-OCT-1987","Pending"
50211,"Protocol Status","Concluded","01-AUG-1998","AZT/ACV in AIDS/ARC","ACTG 010","","Concluded"
50211,"Protocol Status","POS/PAC","11-OCT-1990","AZT/ACV in AIDS/ARC","ACTG 010","01-AUG-1998","POS/PAC"
50211,"Protocol Status","Closed to Follow Up","16-NOV-1989","AZT/ACV in AIDS/ARC","ACTG 010","11-OCT-1990","Closed to Follow Up"
50211,"Protocol Status","Closed to Accrual","28-JUL-1989","AZT/ACV in AIDS/ARC","ACTG 010","16-NOV-1989","Closed to Accrual"
50211,"Protocol Status","Open","01-JUN-1987","AZT/ACV in AIDS/ARC","ACTG 010","28-JUL-1989","Open"
50211,"Protocol Status","Pending","23-APR-1987","AZT/ACV in AIDS/ARC","ACTG 010","01-JUN-1987","Pending"
50212,"Protocol Status","Concluded","06-DEC-1988","ddC PK in AIDS/ARC","ACTG 011","","Concluded"
50212,"Protocol Status","Closed to Follow Up","24-JUL-1987","ddC PK in AIDS/ARC","ACTG 011","06-DEC-1988","Closed to Follow Up"
